key,label,label2,suggested_label,visual_id,instance,plist,die_id,vmin_found,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
25ww24p3_shmoo_cwf_core_chk_f6.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|scn_c_dkt_f6_chkcore_sEs_edt_awt_core1_3mclk_tatpg_list|0,red,,red,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,scn_c_dkt_f6_chkcore_sEs_edt_awt_core1_3mclk_tatpg_list,,Vmin Found: 1.000V,21,11,0.9827,0.9669,1,1,0.9683,1,0.974,1,0.9365,1,1,0.9394,1,1,0,0,1,0.0952,1,21,11,0.9654,0.9654,-0.0331,-0.0317,1,0,0.5238,1,1
D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH|reset_Mscn_stf200_IO_SSN_global_scan|0,diagonal,left wall,diagonal,,SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH,reset_Mscn_stf200_IO_SSN_global_scan,U1,Vmin Found: 0.620V,21,5,0.4095,0.2,0.64,0.6429,0.254,0.0606,0.5694,1,0.2381,0.2698,0.5,0,0.8,0.5333,1,0.0233,1,0.7619,1,21,5,0.581,0.6762,-0.44,-0.3889,1,0.4,0.2381,1,1
D54K6E5600330_25ww23p3_shmoo_cwf_IO_chk_f2_rep_v2.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH|reset_Mscn_stf200_IO_SSN_global_scan|0,diagonal,left wall,diagonal,,SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH,reset_Mscn_stf200_IO_SSN_global_scan,U1,Vmin Found: 0.620V,21,5,0.4095,0.2,0.64,0.6429,0.254,0.0606,0.5694,1,0.2381,0.2698,0.5,0,0.8,0.5333,1,0.0233,1,0.7619,1,21,5,0.581,0.6762,-0.44,-0.3889,1,0.4,0.2381,1,1
D55Y5V1600313_25ww24p1_shmoo_cwf_COMP_CA1TF_DDIMB.txt|NO_VID|ATPG_DDI_VMIN_K_BEGIN_STF_VCCINF_VNOM_X_COMP_IE|reset_Mscn_hvm400RPT8x_SSN_global_scan|0,speckled,floor,speckled,,ATPG_DDI_VMIN_K_BEGIN_STF_VCCINF_VNOM_X_COMP_IE,reset_Mscn_hvm400RPT8x_SSN_global_scan,U3.U1,Vmin Found (High): 0.700V,23,21,0.5197,0.2063,0.8615,0.4435,0.5889,0.5385,0.5118,0.441,0.5404,0.5776,0.0917,0.3106,0.8273,0.8926,0,0.0717,0.9402,3.5217,10,23,21,0.3292,0.7764,-0.6551,0.1455,0.7692,0.0476,0.913,1,1
D55Y5V1600313_25ww24p1_shmoo_cwf_COMP_CA1TF_DDIMB_IO_3rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP|reset_Mscn_stf400_SSN_global_scan|0,mixed,,mixed,,SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP,reset_Mscn_stf400_SSN_global_scan,,Vmin Found: 0.670V,41,21,0.1707,0,0.35,0.1707,0.1707,0,0.2333,0.1707,0.1707,0.1707,0,0,0.35,0.35,0,0,1,0,0,41,21,0.6585,1,-0.35,0,1,0,0.5122,0.1707,1
D55Y5V1600313_25ww25p3_shmoo_cwf_COMP_DDIMB_rep_END.txt|NO_VID|ATPG_DKTBUS_VMIN_K_LTTC_STF_CORE_VNOM_X_COMP_IE_CEILING_cs|reset_Mscn_hvm400RPT8x_SSN_global_scan|0,diagonal,,diagonal,,ATPG_DKTBUS_VMIN_K_LTTC_STF_CORE_VNOM_X_COMP_IE_CEILING_cs,reset_Mscn_hvm400RPT8x_SSN_global_scan,,Vmin Found (High): 0.780V,46,21,0.5683,0.1408,0.9959,0.5739,0.5632,0.5152,0.5883,0.5776,0.5683,0.559,0.1478,0.1344,1,0.9921,1,0.0091,0.8925,0.3696,4,46,21,0.1449,0.9545,-0.8551,-0.0107,1,0.619,0.4565,0.6739,1
D55Y5V1600313_25ww25p3_shmoo_cwf_COMP_DDIMB_rep_reorder.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP|reset_Mscn_hvm400RPT8x_SSN_global_scan|0,mixed,,mixed,,SHMOO_X_SHMOO_E_BEGIN_STF_VCCINF_X_X_X_X_COMP,reset_Mscn_hvm400RPT8x_SSN_global_scan,,Vmin Found: 0.670V,46,21,0.9482,0.9213,0.9752,0.9543,0.9427,0.8712,0.9772,0.972,0.9596,0.913,0.9391,0.9051,0.9696,0.9802,0,0.0022,1,1.1522,11,46,21,0.8965,0.9337,-0.0538,-0.0117,0.5833,0.619,0.4565,1,1
D5KS054100099_25ww23p3_shmoo_cwf_IO_chk_f2_rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH|scn_c_cfc_f1_vmaxcfc_ssn_edt_glbcfc_tatpg_ph1_list|0,diagonal,speckled,diagonal,,SHMOO_X_SHMOO_E_BEGIN_SSN_CFCIO_X_X_X_X_IO_NORTH,scn_c_cfc_f1_vmaxcfc_ssn_edt_glbcfc_tatpg_ph1_list,U1,Vmin Found: 0.560V,51,5,0.6353,0.9077,0.352,0.6667,0.6144,0.5062,0.6954,0.7255,0.6275,0.6078,0.9038,0.9103,0.42,0.3067,1,0.0432,0.784,0.6863,4,51,5,0.3961,0.8588,0.5557,-0.0523,0.7857,0.6,0.098,0.8039,1
D5PP342100697_25ww25p3_shmoo_cwf_IE_chk_f6_rep.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|scn_c_dkt_f6_chkcore_sEs_edt_awt_core3_3mclk_tatpg_list|0,diagonal,,diagonal,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,scn_c_dkt_f6_chkcore_sEs_edt_awt_core3_3mclk_tatpg_list,,Vmin Found: 0.770V,26,11,0.3007,0.049,0.5524,0.4538,0.1731,0.102,0.4043,0.5385,0.1026,0.2769,0.1077,0,0.8,0.3462,1,0.0349,0.9884,0.9615,3,26,11,0.4965,0.7273,-0.5035,-0.2808,0.875,0.9091,0.4231,0.6923,1
D5SA581700227_25ww25p3_shmoo_cwf_IE_chk_f1_rep_2failing_pattern.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|scn_c_dkt_f1_chkcore_sEs_edt_noawt_core0_2mclk_tatpg_list|0,mixed,,mixed,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,scn_c_dkt_f1_chkcore_sEs_edt_noawt_core0_2mclk_tatpg_list,,Vmin Found: 0.670V,36,11,0.202,0,0.404,0.2056,0.1991,0,0.2963,0.2037,0.1944,0.2056,0,0,0.4111,0.3981,0,0,1,0.1111,4,36,11,0.596,0.9848,-0.404,-0.0065,1,0,0.3056,0.2222,1
D5SA581700227_25ww25p3_shmoo_cwf_IE_chk_f1_rep_failing_pattern.txt|NO_VID|SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP|scn_c_dkt_f1_chkcore_sEs_edt_noawt_core0_2mclk_tatpg_list|0,mixed,,mixed,,SHMOO_X_SHMOO_E_BEGIN_STF_CORE_X_X_X_X_COMP,scn_c_dkt_f1_chkcore_sEs_edt_noawt_core0_2mclk_tatpg_list,,Vmin Found: 0.650V,36,11,0.1414,0,0.2828,0.1444,0.1389,0,0.2074,0.1389,0.1389,0.1444,0,0,0.2889,0.2778,0,0,1,0.0556,2,36,11,0.7172,0.9949,-0.2828,-0.0056,1,0,0.3056,0.1667,1
