key,label,label2,suggested_label,num_rows,num_cols,total_fail_ratio,top_fail_ratio,bot_fail_ratio,left_fail_ratio,right_fail_ratio,center_fail_ratio,edge_fail_ratio,left_edge_fail_ratio,right_edge_fail_ratio,center_band_fail_ratio,q_tl_ratio,q_tr_ratio,q_bl_ratio,q_br_ratio,is_diagonal,isolated_fail_ratio,largest_cluster_ratio,avg_row_transitions,max_row_transitions,num_rows,num_cols,vertical_symmetry,horizontal_symmetry,vertical_gradient,horizontal_gradient,boundary_monotonicity,boundary_spread,aspect_ratio,fail_row_fraction,fail_col_fraction
crack_curve_BL-to-UR|11x11|0,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.4242,0.7273,0.7818,0.3788,0.5306,0.5833,0.8788,0.2424,0.5636,0.6333,0.25,0.96,0.5333,1,0,1,2.5455,5,11,11,0.5868,0.5207,-0.303,-0.403,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|1,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.3788,0.7818,0.7273,0.4242,0.551,0.5694,0.7879,0.303,0.5818,0.5,0.2778,1,0.6,1,0.0294,0.9706,2.3636,3,11,11,0.4711,0.5868,-0.403,-0.303,0.8,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|2,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.4242,0.7455,0.7818,0.3939,0.551,0.5833,0.8485,0.2727,0.5818,0.6,0.2778,1,0.5333,1,0.0145,1,2.7273,5,11,11,0.5537,0.5207,-0.3212,-0.3879,0.9,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|3,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3636,0.7455,0.7636,0.3485,0.5306,0.5417,0.8182,0.2424,0.5455,0.5667,0.1944,1,0.5333,1,0.0154,1,2.5455,3,11,11,0.4876,0.5537,-0.3818,-0.4152,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|4,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5868,0.3788,0.8364,0.7455,0.4545,0.5918,0.5833,0.8485,0.303,0.6,0.5333,0.25,1,0.7,1,0.0141,1,2.7273,5,11,11,0.4711,0.6364,-0.4576,-0.2909,0.8,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|5,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3636,0.7636,0.7636,0.3636,0.5306,0.5556,0.8182,0.2121,0.5818,0.5667,0.1944,1,0.5667,1,0.0303,0.7727,2.2727,4,11,11,0.5041,0.5041,-0.4,-0.4,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|6,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5702,0.3939,0.7818,0.8,0.3788,0.5714,0.5694,0.8788,0.2424,0.5818,0.6333,0.1944,1,0.6,1,0.0145,1,2.5455,5,11,11,0.5702,0.5537,-0.3879,-0.4212,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|7,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5372,0.3636,0.7455,0.7818,0.3333,0.5102,0.5556,0.8485,0.2121,0.5455,0.6,0.1667,1,0.5333,1,0.0154,0.9538,2.3636,3,11,11,0.5207,0.5207,-0.3818,-0.4485,1,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|8,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.595,0.4394,0.7818,0.8,0.4242,0.5918,0.5972,0.8788,0.303,0.6,0.6333,0.2778,1,0.6,1,0.0139,1,3.0909,5,11,11,0.5868,0.5372,-0.3424,-0.3758,0.8,0.8182,1,1,1
crack_curve_BL-to-UR|11x11|9,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.562,0.3939,0.7636,0.7636,0.3939,0.551,0.5694,0.8485,0.2727,0.5636,0.5667,0.25,1,0.5667,1,0.0294,1,2.9091,5,11,11,0.4711,0.5372,-0.3697,-0.3697,1,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|10,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5207,0.3636,0.7091,0.7636,0.3182,0.5102,0.5278,0.8485,0.1515,0.5455,0.5667,0.1944,1,0.4667,1,0.0635,0.8889,2.0909,4,11,11,0.5207,0.5207,-0.3455,-0.4455,0.9,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|11,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5537,0.3939,0.7455,0.7818,0.3636,0.551,0.5556,0.8182,0.2424,0.5818,0.6,0.2222,1,0.5333,1,0.0299,0.9851,2.4545,5,11,11,0.5537,0.5537,-0.3515,-0.4182,0.9,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|12,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5041,0.303,0.7455,0.7091,0.3333,0.5102,0.5,0.7576,0.1818,0.5455,0.4667,0.1667,1,0.5333,1,0.082,0.8361,2.2727,4,11,11,0.5207,0.5537,-0.4424,-0.3758,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|13,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5455,0.3636,0.7636,0.7273,0.3939,0.551,0.5417,0.7879,0.2424,0.5818,0.5,0.25,1,0.5667,1,0.0303,0.7576,2.4545,5,11,11,0.4545,0.5537,-0.4,-0.3333,1,0.9091,1,1,1
crack_curve_BL-to-UR|11x11|14,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5289,0.3636,0.7273,0.7273,0.3636,0.4898,0.5556,0.8485,0.2121,0.5273,0.5333,0.2222,0.96,0.5333,1,0.0312,0.7656,2.4545,3,11,11,0.5207,0.5537,-0.3636,-0.3636,1,0.7273,1,1,1
crack_curve_BL-to-UR|11x11|15,crack_curve_BL-to-UR,,crack_curve_BL-to-UR,11,11,0.5868,0.4242,0.7818,0.7818,0.4242,0.5918,0.5833,0.8485,0.2424,0.6364,0.6,0.2778,1,0.6,1,0.0282,1,2.4545,4,11,11,0.5537,0.5207,-0.3576,-0.3576,0.9,0.9091,1,1,1
